Título;Classificação;URL
Documentos do período de atuação de Azeredo da Silveira como embaixador brasileiro em Buenos Aires, produzidos pela Comissão Especial de Coordenação Latino-Americana -CECLA, sobre o financiamento da integração econômica, no continente.;AAS eba 1969.04.29;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/documentos-do-periodo-de-atuacao-de-azeredo-da-silveira-como-embaixador-brasileiro-em-buenos-aires-produzidos-pela-comissao-especial-de-coordenaca
Agendas pessoais de Azeredo da Silveira, encadernadas, nas quais constam os compromisso diários do embaixador.;AAS eba 1969.00.00;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/agendas-pessoais-de-azeredo-da-silveira-encadernadas-nas-quais-constam-os-compromisso-diarios-do-embaixador
"Documentos referentes à atuação de Azeredo da Silveira na Embaixada brasileira em Buenos Aires, com ênfase nas questões administrativas da Embaixada. Contém informações sobre o orçamento para o exercício financeiro de 1970, incluindo os gastos com a obra a ser realizada para ampliação da chancelaria e reatualização do Palácio Pereda; sobre remoções e aumento de funcionários da Embaixada, e telegramas comunicando a transferência de Azeredo da Silveira para o Ministério das Relações Exteriores, em março de 1974.";AAS eba 1969.10.05;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/documentos-referentes-a-atuacao-de-azeredo-da-silveira-na-embaixada-brasileira-em-buenos-aires-com-enfase-nas-questoes-administrativas-da-embaixad
Documentos referentes a assuntos culturais durante a gestão de Azeredo da silveira da Embaixada Brasileira em Buenos Aires. Inclui discursos pronunciados pelo embaixador durante os eventos culturais.;AAS eba 1969.02.04;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/documentos-referentes-a-assuntos-culturais-durante-a-gestao-de-azeredo-da-silveira-da-embaixada-brasileira-em-buenos-aires-inclui-discursos-pronun
"Documentos referentes às políticas internas e externas da Argentina, durante a gestão de Azeredo da Silveira na Embaixada brasileira desse país. Constam do dossiê informações sobre as sucessivas trocas de governo, durante esse período e sobre a ascenção peronista. No campo da polítca externa, existem informações sobre as relações da Argentina com o Brasil, Chile, Paraguai, Uruguai, Bolívia e Equador visando à integração desses países, sobretudo na repressão aos movimentos de oposição ao governo. Os documentos revelam ações de grupos radicais e sequestros de autoridades, dentre as quais Azerdo da Silveira e sua esposa, por grupos argentinos de oposição aos governos militares na América Latina. Inclui ainda informações sobre as sessões extraordinárias da Comissão Jurídica Interamenricana da OEA, destinadas a tratar de questões relacionadas a atuação dos referidos grupos de oposição e informações sobre o "" Plano Europa"", que consistiu na compra de armamentos visando à modernização das Forças Armadas da Argentina.";AAS eba 1969.02.18;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/documentos-referentes-as-politicas-internas-e-externas-da-argentina-durante-a-gestao-de-azeredo-da-silveira-na-embaixada-brasileira-desse-pais-con
Produção intelectual de terceiros acumulados por Azeredo da Silveira, ao longo de sua vida pública. Inclui discursos, estudos, artigos e etc, de diversos autores entre os quais Ronaldo Costa, Alvaro Valle, Paulo Ngueira Batista, Maurício Jopert da Silva e Monica Hisrt. Abrangem assuntos relacionados, principalmente, à política externa, à economia brasileira, às relações do Brasil com outros países, à diplomacia, às relações internacionais, ao desenvolvimento tecnológico e à América Latina.;AAS tt 1945.12.31;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/producao-intelectual-de-terceiros-acumulados-por-azeredo-da-silveira-ao-longo-de-sua-vida-publica-inclui-discursos-estudos-artigos-e-etc-de-divers
Documentos pessoais de terceiros, acumulados por Azeredo da Silveira, incluindo passaportes, certificados, certidões, currículos, e outros pertencentes a seus familiares e empregados. Destaque para documento sobre genealogia da família. ;AAS dp 1876.07.06;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/documentos-pessoais-de-terceiros-acumulados-por-azeredo-da-silveira-incluindo-passaportes-certificados-certidoes-curriculos-e-outros-pertencentes-
Documentos pessoais de Azeredo da Silveira, incluindo diplomas, declarações, autorizações, passaportes, currículos, certidões, contratos, nomeações, entre outros.;AAS dp 1939.01.01;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/documentos-pessoais-de-azeredo-da-silveira-incluindo-diplomas-declaracoes-autorizacoes-passaportes-curriculos-certidoes-contratos-nomeacoes-entre-
Correspondência entre Azeredo da Siveira e seus familiares, abordando questões do cotidiano tais como nascimento dos filhos, estudos, viagens, saúde etc. Inclui cartas trocadas por familiares entre si.;AAS dp 1909.03.23;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/correspondencia-entre-azeredo-da-siveira-e-seus-familiares-abordando-questoes-do-cotidiano-tais-como-nascimento-dos-filhos-estudos-viagens-saude-e
"Correspondência sobre assuntos de caráter pessoal entre Azeredo da Silveira e amigos, em sua maioria colegas do Itamarty, incluindo congratulações por sua promoção a ministro de carreira, em 1959; notícias sobre o Brasil enviadas a Azeredo nos seus períodos de afastamento do país; felicitações por ocasião de seu aniversário e informações diversas sobre a chancelaria brasileira, entre outros. Destaque para carta de Afonso Arinos Filho enviando um ensaio sobre sua vida política.";AAS dp 1945.05.15;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/correspondencia-sobre-assuntos-de-carater-pessoal-entre-azeredo-da-silveira-e-amigos-em-sua-maioria-colegas-do-itamarty-incluindo-congratulacoes-p
Documentos referentes às finanças de Azeredo da Silveira. O dossiê é constituído por recibos, extratos bancários, mapas de ações, balancetes e declarações de imposto de renda, entre outros. Inclui correspondência bancária e de seu procurador, no Rio de Janeiro.;AAS dp 1951.10. 29;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/documentos-referentes-as-financas-de-azeredo-da-silveira-o-dossie-e-constituido-por-recibos-extratos-bancarios-mapas-de-acoes-balancetes-e-declara
"Documentos diversos de carater pessoal acumulados por Azeredo da Silveira incluindo: poesias de sua filha Lúcia May; poesia de Cândido Portinari; discurso preparado pelo Papa Paulo VI, por ocasião da celebração do Dia da Paz e letra de música de Azeredo da Silveira, em parceria com sua filha Léa da Silveira, além de documentos relativos a condecorações.";AAS dp 1961.01.11;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/documentos-diversos-de-carater-pessoal-acumulados-por-azeredo-da-silveira-incluindo-poesias-de-sua-filha-lucia-may-poesia-de-candido-portinari-dis
"Documentos referentes à participação de Azeredo da Silveira como secretário executivo da delegação brasileira na Conferência de Comércio e Emprego das Nações Unidas(CIE), realizada em Havana, de novembro de 1947 a fevereiro de 1948. O dossiê é constituído por uma carta de Azeredo ao Ministério das Relações Exteriores encaminhando, em anexo, 19 atas, assinadas por ele, das reuniões ordinárias da delegação, ocorridas no decorrer da Conferência, e relatório da sessão de encerramento da Conferência, ocasião em que foi assinada a ""Carta de Havana"".";AAS sh 1948.02.23;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/documentos-referentes-a-participacao-de-azeredo-da-silveira-como-secretario-executivo-da-delegacao-brasileira-na-conferencia-de-comercio-e-emprego
Documentos relativos à atuação de Azeredo da Silveira como membro da comissão de estudos e elaboração do projeto de reforma do Ministério das Relações Exteriores, durante o período em que Azeredo era auxiliar do chefe do Departamento Administrativo desse Ministério. A reforma em questão abrangeu não só a estrutura administrativa do MRE, como a carreira de diplomata. O dossiê inclui agendas e atas das reuniões da comissão, minuta do projeto de lei modificando a organização da Secretaria de Estado e o quadro de pessoal do MRE, bem como emendas apresentadas ao projeto. Consta ainda do dossiê documentos sobre a criação da delegação permanente junto à organismos internacionais da Europa;AAS daI 1952.05.22;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/documentos-relativos-a-atuacao-de-azeredo-da-silveira-como-membro-da-comissao-de-estudos-e-elaboracao-do-projeto-de-reforma-do-ministerio-das-rela
Documentos produzidos no período em que Azeredo da Silveira atuou como oficial de gabinete do ministro das Relações Exteriores, referentes ao Tratado de Segurança entre Austrália, Nova Zelândia e EUA, e a obrigatoriedade da ratificação dos atos internacionais pelo Congresso Nacional. Provavelmente foram utilizados como subsídios para elaboração de um tratado, durante a Convenção de consulta Brasil-Portugal.;AAS og 1953.10.14;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/documentos-produzidos-no-periodo-em-que-azeredo-da-silveira-atuou-como-oficial-de-gabinete-do-ministro-das-relacoes-exteriores-referentes-ao-trata
Encadernados (5 volumes) contendo documentos referentes à Reunião dos Embaixadores do Brasil nos países membros da Organização dos Estados Americanos -OEA, da qual Azeredo da Silveira participou como secretário geral, realizada no Rio de Janeiro, de 26 de janeiro a 06 de fevereiro de 1954, com o objetivo de discutir a agenda e o temário da X Conferência Interamericana, em Caracas, Venezuela, em fevereiro do mesmo ano. Tratam-se de exposições, notas, telegramas e relatórios, entre outros, versando sobre o posicionamento dos países membros da OEA frente aos temas jurídicos, econômicos e sociais a serem debatidos na Conferência, tais como: convivência pacífica,colônias e territórios ocupados na América, intervenção do comunismo nas Repúblicas americanas, desenvolvimento econômico, cooperação comercial, direitos humanos, etc.;AAS og 1954.01.26;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/encadernados-5-volumes-contendo-documentos-referentes-a-reuniao-dos-embaixadores-do-brasil-nos-paises-membros-da-organizacao-dos-estados-americano
"Documentos relativos à participação de Azeredo da Silveira na X Conferência realizada em Caracas, Venezuela, em fevereiro de 1954. Inclui: a "" Declaração de solidariedade para preservação da integridade política dos Estados americanos contra a intervenção do comunismo internacional"", conhecida como ""Declaração de Caracas""; ofício de Azeredo da Silveira encaminhando, ao ministro das Relações Exteriores, a prestação de contas do evento enviada à Delegacia do Tesouro Brasileiro, em Nova York; e relato dos trabalhos de documentação da reunião dos embaixadores, no Rio de Janeiro, e da delegação brasileira na X Confência.";AAS og 1954.02.00;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/documentos-relativos-a-participacao-de-azeredo-da-silveira-na-x-conferencia-realizada-em-caracas-venezuela-em-fevereiro-de-1954-inclui-a-declaraca
Correspondência entre Azeredo da Silveira, chefe da Comissão Brasileira de Seleção de Imigrantes na Europa, e o médico Guilherme Joffily, tratando do processo de seleção de imigrantes profissionalizados para o Brasil, entre os refugiados húngaros na Iugoslávia. Inclui ainda informações sobre os funcionários do Comitê Intergovernamental para Migrações Européias - CIME.;AAS ccb 1957.08.28;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/correspondencia-entre-azeredo-da-silveira-chefe-da-comissao-brasileira-de-selecao-de-imigrantes-na-europa-e-o-medico-guilherme-joffily-tratando-do
Documentos referentes ao período em que Azeredo da Silveira foi chefe da Divisão de Pessoal do Ministério das Relações Exteriores - MRE. O dossiê é constituído pelo discurso de posse de Azeredo na referida chefia, em outubro de 1958, e por um informativo sobre o processo administrativo de um funcionário do MRE, abordando pontos do direito administrativo.;AAS cdp 1958.10.08;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/documentos-referentes-ao-periodo-em-que-azeredo-da-silveira-foi-chefe-da-divisao-de-pessoal-do-ministerio-das-relacoes-exteriores-mre-o-dossie-e-c
"Documentos relativos à participação de Azeredo da Silveira no grupo de trabalho sobre a reforma administrativa do MRE (1958-1959) e na comissão de reforma adnistrativa de 1964, durante sua gestão como chefe da Divisão de Pessoal do Departamento Administrativo do MRE e, no segundo caso, como chefe do próprio Departamento Administrativo. A referida comissão foi criada para rever a lei nº 3.917, de 14 de julho de 1961, confrontando-a com outros projetos. O dossiê inclui: as atas de reuniões do grupo de trabalho para a reforma; os decretos que dispõem sobre renumeração e gratificações de funcionários do Itamaraty, no exterior; as propostas de criação de um Serviço Civil Exterior(1963); a entrevista concedida por Azeredo da Silveira sobre a reforma de 1961; o anteprojeto de reforma do MRE, de 1963; e o decreto-lei que reorganiza o Itamaraty, de 1969, entre outros.";AAS daII 1958.11.07;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/documentos-relativos-a-participacao-de-azeredo-da-silveira-no-grupo-de-trabalho-sobre-a-reforma-administrativa-do-mre-1958-1959-e-na-comissao-de-r
"Documentos referentes à atuação de Azeredo da Silveira como chefe do Departamento de Administração do Ministério das Relações Exteriores abordando assuntos gerais relacionados a esse Departamento. Inclui: informações sobre a necessidade de construção de sedes de embaixadas em diversos países; requisição de férias, de passaporte e de passagens para funcionários do Itamaraty; informações sobre reunião do Conselho Interamericano Econômico e Social - CIES, em São Paulo; viagem da comissão de siderurgia e mineração da Assembléia Legislativa de Minas Gerais para viabilizar o crescimento das exportações brasileiras para a Europa; redistribuição da representação diplomática consular e comercial nos postos da Ásia e da Oceania; e discursos de Afonso Arinos de Melo Franco, pronunciado por ocasião de sua posse no cargo de ministro das Relações Exteriores, em 1961, e de Azeredo da Silveira, no final de sua gestão no Departamento de Administração do MRE, em 1966, entre outros. ";AAS daII 1959.10.30;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/documentos-referentes-a-atuacao-de-azeredo-da-silveira-como-chefe-do-departamento-de-administracao-do-ministerio-das-relacoes-exteriores-abordando
"Documentos referentes à compra do Palácio Dória Pamphili, pelo Ministério das Relações Exteriores,para instalação da Casa do Brasil, em Roma, onde funcionaria a sede da Embaixada brasileira e todos os outros escritórios comerciais do governo brasileiro nessa cidade. A documentação abrange dois períodos. Um primeiro período, entre 1959 e 1960, inclui: documentos sobre a compra do imóvel e sobre a nomeação de uma comissão para supervisionar os trabalhos de reforma da Casa; inventário dos bens encontrados pelo embaixador Hugo Gouthier de Oliveira Gondin; correspondência trocada entre o embaixador e o MRE sobre as transações necessárias à aquisição do imóvel; e processo do Ministério da Fazenda contestando a transferência dos recursos do Instituto Brasileiro do Café - IBC para o MRE, a fim de serem utilizados no pagamento da compra do referido imóvel. O segundo período, diz respeito a documentação referente à comissão especial chefiada por Ciro de Freitas Vale, para examinar o estado de deterioração do imóvel.";AAS daII 1959.11.02;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/documentos-referentes-a-compra-do-palacio-doria-pamphili-pelo-ministerio-das-relacoes-exteriores-para-instalacao-da-casa-do-brasil-em-roma-onde-fu
"Documentos sobre a atuação de Azeredo da Silveira, enquanto chefe do departamento de Administração do Ministério das Relações Exteriores, na criação do Serviço de Propaganda e Expansão Comercial do Brasil no Exterior - SEPRO, em substituição aos antigos escritórios comerciais. O dossiê contém informações sobre: o decreto de criação dos SEPRO nº50.332, de março de 1961; a primeira reunião de coordenação dos SEPRO no continente americano; e investigação dos funcionários do SEPRO pelo Serviço de Informação Nacional - SNI. Inclui ainda os relatórios dos SEPRO no México, Paraguai e Uruguai; relatório de inspecção da Divisão de Propaganda e Expansão Comercial - DIPROC; programa de trabalho para o DIPROC e projeto do Executivo de extinção dos SEPRO, objeto do decreto nº 55.800, de fevereiro de 1965.";AAS daII 1961.03.10;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/documentos-sobre-a-atuacao-de-azeredo-da-silveira-enquanto-chefe-do-departamento-de-administracao-do-ministerio-das-relacoes-exteriores-na-criacao
"Documentos relativos à missão em embaixadas e legações brasileiras nas capitais do leste europeu, para a qual Azeredo da Silveira foi convocado, durante sua gestão como cônsul em Paris. A missão teve como objetivo averiguar as condições de segurança nessas representações diplomáticas, assim como analisar a possibilidade de instalação de SEPROs, nessas capitais. Inclui uma análise do volume de trabalho desenvolvido pelos funcionários brasileiros nessas representações diplomáticas, suas condições de trabalho e de moradia nesses países; documentos sobre as máquinas cifradoras em Moscou e Varsóvia, e sobre as questões envolvendo a segurança dos cofres em Moscou, Varsóvia, Praga e Belgrado. Vale ressaltar que antes dessa missão, Azeredo da Silveira havia sido enviado à Budapeste para averiguar uma questão relacionada à violação do arquivo da Embaixada brasileira nessa cidade. Sua convocação para realizar essa missão no leste europeu deveu-se, não só ao seu bom desempenho na missão anterior, mas ao fato de ter participado da reforma administrativa do Itamaraty, particularmente das questões relativas às legações e representações no exterior, durante sua passagem pela chefia do Departamento Administrativo. Consta também do dossiê, um telegrama comunicando o retorno de Azeredo da Silveira para a chefia do DA, após a finalização da missão no leste europeu.";AAS daII 1962.05.08;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/documentos-relativos-a-missao-em-embaixadas-e-legacoes-brasileiras-nas-capitais-do-leste-europeu-para-a-qual-azeredo-da-silveira-foi-convocado-dur
"Documentos relativos à participação de Azeredo da Silveira, chefe do Departamento de Administração do Ministério das Relçaões Exteriores, na comissão especial do IV Centenário do Rio de Janeiro. Contém informações sobre as negociações mantidas com diversos países, entre os quais os Estados Unidos, Suécia, e Bolívia, tendo em vista à participação desses países nas festividades; anteprojeto do regulamento do festival internacional de cinema do Rio de Janeiro, elaborado pelo MRE e pelo governo do Estado da Guanabara; a lei do Congresso, sancionada pelo presidente da República relativa ao IV Centenário; as diretrizes e o programa do evento, entre outros.";AAS daII 1963.10.23;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/documentos-relativos-a-participacao-de-azeredo-da-silveira-chefe-do-departamento-de-administracao-do-ministerio-das-relcaoes-exteriores-na-comissa
"Documentos referentes à viagem de inspecção, chefiada por Azeredo da Silveira,enquanto chefe do Departamento de Administração do Ministério das Relações Exteriores, à missões diplomáticas, repartições consulares e SEPROs (Serviço de Propaganda e Expansão Comercial do Brasil no Exterior), na Europa Ocidental, Oriente Próximo e África. Fizeram parte da viagem de inspecção o ministro José Fabrino de Oliveira Baião, membro da Comissão de Obras e Reformas de Repartições Brasileiras no Exterior - CORBE; o secretário Guy M. de Castro Brandão, chefe interino da Divisão de Organização, e o arquiteto Olavo Redig de Campos, chefe do Serviço de Conservação do Patrimônio. O dossiê contém informações sobre o itinerário da Comissão, a construção da sede da Embaixada brasileira em Beirute,e a construção do monumento em homenagem aos pracinhas, no cemitério militar brasileiro de Pistóia. Inclui ainda o relatório de viagem elaborado por Azeredo da Silveira.";AAS daII 1964.06.22;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/documentos-referentes-a-viagem-de-inspeccao-chefiada-por-azeredo-da-silveira-enquanto-chefe-do-departamento-de-administracao-do-ministerio-das-rel
Relatórios utilizados por Azeredo da Silveira, enquanto presidente da Comissão de Representação no Exterior, como subsídios para definir a política brasileira frente aos países da Ásia e da Europa Oriental. Contêm informações sobre Vietnã, Malásia, Coréia, Laos, Cachemir, e China.;AAS daII 1964.08.10;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/relatorios-utilizados-por-azeredo-da-silveira-enquanto-presidente-da-comissao-de-representacao-no-exterior-como-subsidios-para-definir-a-politica-
Documentos relativos à missão especial à Moscou, chefiada por Cyro de Freitas Valle, por ocasião da gestão de Azeredo da Silveira como chefe do Departamento de Administração do Ministério das Relações Exteriores. A missão teve como objetivo averiguar as condições de trabalho e o estado psicológico dos funcionários da diplomacia brasileira, naquela cidade. O dossiê é constituído por telegramas trocados entre o MRE, o embaixador brasileiro em Moscou, Henrique Valle, e Cyro de Freitas Valle.;AAS daII 1964.09.28;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/documentos-relativos-a-missao-especial-a-moscou-chefiada-por-cyro-de-freitas-valle-por-ocasiao-da-gestao-de-azeredo-da-silveira-como-chefe-do-depa
"Documentos referentes à participação de Azeredo da Silveira, chefe do Departamento de Administração do Ministério das Relações Exteriores, na I Reunião dos Chefes de Missão no Leste Europeu, realizada em Viena, em junho de 1965. Inclui discurso pronunciado por Azeredo da Silveira, na abertura da reunião; exposição sobre o quadro político brasileiro nos anos 1963-1964; correspondência trocada com o ministro Paulo Campos contendo informações sobre acontecimentos internos do MRE; documento de trabalho sobre o Centro de Informações e Comunicações (CEICO); e relatório sobre os objetivos, funcionamento e organização do CEICO. Inclui ainda um encadernado com informações sobre as missões e sobre a própria reunião.";AAS daII 1965.06.29;http://www.fgv.br/cpdoc/acervo/arquivo-pessoal/AAS/textual/documentos-referentes-a-participacao-de-azeredo-da-silveira-chefe-do-departamento-de-administracao-do-ministerio-das-relacoes-exteriores-na-i-reun
