SG_FUN;CD_CLASSIFICACAO_MAN;DS_SER;DS_SSE;DS_RESUMO_MAN;DS_NOTAS_MAN;DS_PERIODO_PRODUCAO_MAN;AnoProducaoDe;AnoProducaoAte;NR_DOCUMENTOS_TIPO_MAN;DESCRITORES
AAS;1974.04.02;Ministro das Relações Exteriores;Assuntos interamericanos;"Documentos referentes à Organização dos Estados Americanos (OEA) no período de atuação de Azeredo da Silveira como ministro das Relações Exteriores. Tratam: da Conferência Interamericana de Chanceleres realizada em Washington, em abril de 1974, dando continuidade ao diálogo iniciado na Conferência de Tlatelolco (México), em fevereiro de 1974, e onde se discutiu a estrutura do comércio internacional, o Canal do Panamá e a cooperação para o desenvolvimento; da IV Assembléia Geral realizada em Atlanta, em abril de 1974, abordando a admissão da Grã-Bretanha como observadora da OEA e a reforma do sistema interamericano; e da proposta feita ao Conselho Permanente por Costa Rica, Venezuela e Colômbia, de convocação de órgão de consulta para analisar a suspensão das sanções contra Cuba estabelecidas em 1964, contendo a posição de diversos países frente à questão e da sugestão brasileira de novo projeto (set-dez/1974). Inclui ainda documentos sobre a reforma do Tratado Interamericano de Assistência Recíproca (TIAR); sobre a V Assembléia Geral em Washington, em maio de 1975, destacando-se a reforma do sistema interamericano, a lei de comércio exterior norte-americana e a eleição do secretário-geral; sobre a discussão relativa à direitos humanos na VII Assembléia Geral em junho de 1977; e sobre a proposta mexicana de novo estatuto para a Comissão Interamericana de Direitos Humanos, que não conta com o apoio do Brasil.";NULL;02.04.1974 a 16.01.1979;1974;1979;489;"Comércio exterior; Comércio internacional; Congressos e conferências; Cooperação econômica; Cuba; Direitos humanos; Estados Unidos da América; Governo Ernesto Geisel (1974-1979); Organização dos Estados Americanos; Paraguai; Relações interamericanas; "
AAS;1974.06.07;Ministro das Relações Exteriores;Assuntos interamericanos;"Documentos referentes à criação de um sistema econômico latino-americano no período de atuação de Azeredo da Silveira como ministro das Relações Exteriores. Tratam da proposta do presidente da Venezuela, Carlos Andrés Perez, em 1974, de realização de uma reunião de presidentes latino-americanos durante as comemorações do Sesquicentenário do Congresso Anfictiónico do Panamá, na qual seria discutida um mecanismo para desenvolver os interesses comuns no campo econômico; da proposta, em março de 1975, encaminhada pelos presidentes Carlos Andrés Perez e Luiz Echeveria Alvarez, da Venezuela e do México, respectivamente, para criação do Sistema Latino-Americano (SELA); da formação de Grupo de Trabalho, que conta com a participação do Brasil, na constituição do SELA; e dos preparativos e programação das comemorações do Sesquicentenário do Congresso Anfictiónico do Panamá. Inclui ainda, a proposta de criação do Banco Interamericano de Poupança e Empréstimo (BIAPE).";NULL;07.06.1974 a 23.06.1977;1974;1977;90;"América Latina; Convites; Governo Ernesto Geisel (1974-1979); Integração econômica; Eventos e comemorações cívicas; Relações econômicas internacionais; Relações interamericanas; Relações internacionais; Sistema econômico; Panamá; Mensagens presidenciais; "
AAS;1975.03.24;Ministro das Relações Exteriores;Assuntos interamericanos;"Documentos referentes à reivindicação panamenha de soberania sobre o Canal do Panamá no período correspondente à atuação de Azeredo da Silveira como ministro das Relações Exteriores. O dossiê é composto por correspondência entre o Ministério e a Embaixada brasileira no Panamá e entre o presidente Ernesto Geisel e os presidentes da Colômbia Alfonso Lopes; da Costa Rica, Daniel Oduber; da Venezuela, Carlos Perez e do Panamá, Omar Torrijos, abordando as seguintes questões: demonstração de apoio à posição panamenha dos países latino-americanos frente ao governo norte-americano; posição brasileira favorável a um acordo que assegure a soberania panamenha sobre o canal.";NULL;24.03.1975 a 16.03.1978;1975;1978;50;"Brasil; Cooperação internacional; Governo Ernesto Geisel (1974-1979); Jimmy Carter; Política externa; Relações interamericanas; Panamá; Política internacional; "
AAS;1977.03.02;Ministro das Relações Exteriores;Assuntos interamericanos;"Documentos referentes à proposta e institucionalização do Pacto Amazônico durante a gestão de Azeredo da Silveira como ministro das Relações Exteriores. Tratam da proposta brasileira aos países amazônicos - Bolívia, Colômbia, Equador, Guiana, Peru, Suriname e Venezuela - de celebração de um tratado para a região abranjendo as áreas de navegação, interconexão rodoviárias, ferroviárias e fluviais, assistência técnica, proteção da flora e fauna, turismo, entre outras; e das negociações em torno da proposta, que se concretizou na assinatura do tratado, no dia 03 de julho de 1978.";Há anexo ao dossiê, uma análise de setembro de 1979 sobre o Tratado da Região Amazônica.;02.03.1977 a 08.03.1979;1977;1979;188;"Acordos e tratados internacionais; Amazônia; Cooperação internacional; Governo Ernesto Geisel (1974-1979); Relações interamericanas; "
AAS;1978.07.01;Ministro das Relações Exteriores;Assuntos interamericanos;Documentos referentes à proposta mexicana de realização de uma reunião sobre o desarmamento dos países da América Latina e Caribe no decorrer da atuação de Azeredo da Silveira como ministro das Relações Exteriores. Inclui informação sobre a reunião, que ocorreu em agosto de 1978, e sobre a não participação do Brasil, que defendia o caráter não regional da questão.;NULL;01/07/1978 a 00.00.1978;1978;1978;38;"América Latina; Desarmamento; Governo Ernesto Geisel (1974-1979); Relações interamericanas; "
AAS;1974.05.06;Ministro das Relações Exteriores;Bacia do Prata;Documentos referentes à atuação de Azeredo da Silveira como ministro das Relações Exteriores nas VI, VIII e IX Reuniões de Chanceleres da Bacia do Prata, ocorridas em Buenos Aires e Assunção, com o objetivo de realizar a integração da região da Bacia do Prata, principalmente no que diz respeito ao aproveitamento dos rios internacionais. O dossiê é constituído por telegramas, convites e discursos.;"Consta anexo ao dossiê, uma declaração feita na IV Reunião de Chanceleres da Bacia do Prata, que ocorreu entre 1970 e 1971, da qual Azeredo da Silveira participou como delegado do Brasil; e uma fotografia de Azeredo e outros na X Reunião de Cahnceleres da Bacia do Prata, que encontra-se no arquivo audiovisual.";06.05.1974 a 07.12.1977;1974;1977;127;"Congressos e conferências; Recursos naturais; Relações interamericanas; Relações internacionais; Bacia do Prata; "
AAS;1974.06.04;Ministro das Relações Exteriores;Bacia do Prata;"Documentos referentes à empresa Itaipu Binacional durante a gestão de Azeredo da Silveira como ministro das Relações Exteriores. O dossiê é constituído por telegramas, relatórios, estudos técnicos, entrevistas e pautas para reunião, abordando o processo de construção da usina e projetos paralelos, como o melhor aproveitamento dos rios Acary, Monday e Nianduaty, afluentes do rio Paraná. Consta ainda, do dossiê, documentos sobre a conferência da Água, em março de 1977, na qual se discutiu o aproveitamento dos rios internacionais e dos recursos naturais compartilhados; a navegação no rio Paraná; e o posicionamento do Brasil, Argentina e Paraguai diante das questões como a compatibilização de Itaipu e Corpus e o número de turbinas a ser adotado em Itaipu.";"Há, anexo ao dossiê, 24 documentos contendo estudos sobre a região, anteriores à gestão de Azeredo da Silveira no MRE; telegramas enviados ao titular felicitando-opor ocasião da inauguração de Itaipu, quando este atuava como embaixador do Brasil em Portugal; e livro sobre a utilização de rios internacionais e mapas da Bacia do Prata.";04.06.1974 a 28.12.1978;1974;1978;887;"Acordos e tratados internacionais; Argentina; Brasil; Itaipú Binacional; Paraguai; Recursos naturais; Relações internacionais; Hidrelétricas; Energia hidráulica; Bacia do Prata; "
AAS;1975.02.06;Ministro das Relações Exteriores;Bacia do Prata;"Documentos referentes à diversos assuntos envolvendo os países da Bacia do Prata durante a gestão de Azeredo da Silveira no Ministério das Relações Exteriores. Tratam de questões político-diplomáticas e comerciais, tais como: nota publicada na revista da Academia Brasileira de Letras (ABL), na qual Mota Lima teria declarado que o Brasil deveria recuperar sua província fronteiriça e o impacto que esta nota poderia causar nas relações com os países do Prata; relação com o Paraguai envolvendo a detenção de brasileros na fronteira por tráfico de drogas; preocupação das forças armadas paraguaias com possíveis ações terroristas; descontentamento paraguaio com o artigo publicado no Jornal do Brasil, no dia 11/08/1976, intitulado ""Instabilidade no Paraguai Faz Perigar Itaipu""; relação com Uruguai no que diz respeito ao protocolo de expansão comercial; relatório sobre o encontro do presidente brasileiro Ernesto Geisel e o chanceler argentino Oscar Camilión, no qual foram discutidos as relações política e comercial entre os dois países; informação sobre a posse de Jorge Rafael Videla como presidente da Argentina, entre outras.";NULL;06.02.1975 a 01.03.1979;1975;1979;112;"Acordos e tratados internacionais; Argentina; Bolívia; Brasil; Diplomacia; Uruguai; Paraguai; Política externa; Relações econômicas internacionais; Relações interamericanas; Bacia do Prata; "
AAS;1977.02.16;Ministro das Relações Exteriores;Bacia do Prata;Documentos referentes à participação de Azeredo da Silveira como ministro das Relações Exteriores nas negociações entre o Brasil e o Paraguai relativas à mudança de frequência elétrica na Usina de Itaipu. O dossiê é constituído prioritariamente por telegramas sobre alteração que seria feita no lado paraguaio da Usina, que em troca pede algumas compensações ao governo brasileiro, dentre as quais o financiamento para a construção de uma usina siderúrgica.;NULL;16.02.1977 a 28.11.1977;1977;1977;137;"Brasil; Energia elétrica; Itaipú Binacional; Paraguai; Hidrelétricas; Bacia do Prata; "
AAS;1977.03.10;Ministro das Relações Exteriores;Bacia do Prata;"Documentos referentes à atuação de Azeredo da Silveira como ministro das Relações Exteriores nas negociações ocorridas entre Brasil, Artentina e Paraguai, durante as reuniões da Comissão Tripartite, nas quais dicicutiu-se o aproveitamento do rio Paraná na construção das usinas hidrelétricas Itaipu e Corpus. Contam do dossiê documentos relativos à reuniões bilaterais, com o objetivo de discutir previamente pontos da pauta de reuniões tripartites; agendamento de uma reunião dos chanceleres dos três países envolvidos; preparação do ""documento do Rio de Janeiro"", que consiste em um acordo sobre aproveitamento hidrelétrico de Itaipu e Corpus. O dossiê é constituído por relatórios, agendamento, pautas para reuniões, minutas, atas, estudos sobre a região do rio Paraná, projetos, notas à imprensa, ""aide-memoire"", entrevistas, memorandos e telegramas, nos quais predominam uma grande preocupação com a repercussão das negociações na imprensa.";NULL;10.03.1977 a 13.03.1979;1977;1979;2186;"Acordos e tratados internacionais; Argentina; Brasil; Itaipú Binacional; Paraguai; Recursos naturais; Relações internacionais; Hidrelétricas; Energia hidráulica; Bacia do Prata; Recursos hídricos; "
AAS;1977.05.03;Ministro das Relações Exteriores;Bacia do Prata;Correspondência entre o ministro das Relações Exteriores, Azeredo da Silveira, e as embaixadas brasileiras na Argentina e no Chile referente à controvérsia existente entre esses dois países, decorrente da disputa pala fronteira austral, o canal de Beagle. A documentação se concentra no período em que o laudo arbitral, preparado pela Corte Arbitral, é apresentado, estipulando que o chile ficaria com a posse das Ilhas do Beagle, da plataforma continental e com as ilhas ao sul do canal. Os documentos informam também sobre a discordância da Argentina com relação ao laudo e sobre a proibição imposta por este país ao Brasil com relação à passagem de veículos em direção ao Chile, através do Tunel las Cuevas-Caroles.;NULL;03.05.1977 a 25.01.1979;1977;1979;133;"Argentina; Brasil; Chile; Conflitos internacionais; Limites e fronteiras; Relações internacionais; Bacia do Prata; "
AAS;1977.07.09;Ministro das Relações Exteriores;Bacia do Prata;"Documentos referentes à atuação de Azeredo da Silveira como ministro das Relações Exteriores no episódio da publicação de notas trocadas entre os governos brasileiro e argentino no jornal brasileiro ""O Estado de São Paulo"", sobre a questão do aproveitamento hidrelétrico do rio Paraná. Os documentos informam sobre a discussão gerada a partir das notas, em torno das consequências da divulgação, na imprensa, de informações diplomáticas.";"Consta anexo ao dossiê o número do jornal ""O estado de São Paulo"" que publicou as notas.";09.07.1977 a 26.08.1977;1977;1977;141;"Argentina; Brasil; Imprensa; Relações internacionais; Bacia do Prata; "
AAS;1977.09.13;Ministro das Relações Exteriores;Bacia do Prata;Documentos referentes aos assuntos que serão discutidos nas Reuniões Tripartites, entre Argentina, Paraguai e Brasil. O dossiê é constituído por relatórios, notas, informações para o senhor presidente da República Ernesto Geisel, telegramas, projetos, memorandos e recorte de jornal, sobre o aproveitamento de Itaipu e Corpus, os quais foram utilizados como subsídios para a Reunião Tripartite que se realizou em 22 e 23 de setembro de 1977.;Consta anexo ao dossiê o índice de organização desses documentos. Foi mantida a ordenação original dos documentos por ocasião de sua chegada ao CPDOC.;29.11.1972 a 13.09.1977;1972;1977;245;"Argentina; Brasil; Itaipú Binacional; Paraguai; Hidrelétricas; Energia hidráulica; Bacia do Prata; Recursos hídricos; "
AAS;1974.03.15;Ministro das Relações Exteriores;Brasil-EUA;"Documentos referentes às relações políticas, econômicas e comerciais entre Brasil e Estados Unidos no período em que Azeredo da Silveira era ministro das Relações Exteriores. O dossiê é constituído de relatórios, notas, discursos, resumos e correspondência, abordando, no âmbito das relações econômicas, a questão da exportação de calçados brasileiros ao mercado norte-americano; a discussão da criação de um grupo consultivo informal Brasil-EUA sobre assuntos econômicos; as questões referentes ao intercâmbio comercial, incluindo as negociações do Acordo Geral de Tarifas e Comércio (GATT), e a lei de comércio norte-americana promulgada em 1975, e que causou polêmica em países da América Latina por desrespeitar acordos firmados anteriormente sobre protecionismo. No âmbito das relações políticas, o dossiê inclui informações relativas ao grupo consultivo Brasil-EUA sobre cooperação científica e tecnológica; sobre a visita de Azeredo da Silveira a Washington, em outubro de 1976; e sobre o projeto e assinatura do Memorandum de Entendimento referente a consultas sobre assuntos de interesse mútuo entre Brasil-EUA. No âmbito dos direitos humanos, inclui informações sobre a prisão política de cidadãos americanos no Brasil, sobre a lei norte-americana de ajuda externa, no campo de segurança e assistência militar; e sobre a denúncia feita pelo governo brasileiro em 1977, do acordo militar Brasil-EUA de 1952.";Há 74 documentos anexos ao dossiê sobre política interna e externa norte-americana que provavelmente serviram de subsídios para a atuação de Azeredo da Silveira na relação do Brasil com os EUA. ;15.03.1974 a 00.03.1979;1974;1979;2835;"Acordo Militar Brasil - EUA (1952); Acordos e tratados internacionais; Cooperação científica e tecnológica; Cooperação internacional; Direitos humanos; Eleições presidenciais; Estados Unidos da América; Exportação; Viagens e visitas; Jimmy Carter; Legislação comercial; Política externa; Protecionismo econômico; Relações econômicas internacionais; Política internacional; Política comercial; "
AAS;1974.03.18;Ministro das Relações Exteriores;Brasil-EUA;Correspondência entre o ministro das Relações Exteriores do Brasil, Azeredo da Silveira, e o secretário de Estado norte Americano, Henry Kissenger, tratando de diversos assuntos da política internacional, com ênfase nas relações entre Brasil e Estados Unidos. Inclui documentação sobre diversos encontros entre Azeredo e Kissenger, felicitações e agradecimentos em datas comemorativas, referência à possibilidade de criação de uma Comissão Especial de Coordenação Conjunta, incluindo texto da proposta da criação da Comissão, informações sobre as relações comerciais entre os dois países, com ênfase na atuação do Departamento do Tesouro norte-americano na exportação de calçados brasileiros aos Estados Unidos e na possibilidade de cooperação em outros setores. Há também documentos relativos à conferências, reuniões e assembléias, como a reunião de consulta dos chanceleres americanos em Quito, reunião preparatória à Conferência de energia e assembléias gerais da ONU.;NULL;18.03.1974 a 12.07.1978;1974;1978;420;"Congressos e conferências; Cooperação econômica; Felicitações e congratulações; Viagens e visitas; Relações econômicas internacionais; Relações interamericanas; Relações internacionais; Henry Kissinger; "
AAS;1974.04.16;Ministro das Relações Exteriores;Brasil-EUA;"Documentos utilizados como subsídios nas conversações entre o ministro das Relações Exteriores do Brasil, Azeredo da Silveira, e o secretário de Estado norte-americano, Henry Kissenger. São notas, resumos, relatórios, discursos e correspondência, tratando de diversos assuntos, no âmbito das relações entre os dois países e da política internacional, com ênfase nas questões econômicas e comerciais, tais como no intercâmbio comercial de diversos produtos, taxação de tarifas para exportação e importação, protecionismo e relações financeiras. Inclui informações sobre a situação política interna de diversos países, principalmente América Latina e sobre reforma da Organização dos Estados Americanos (OEA). Há ainda documentação sobre a relação dos Estados Unidos com China e URSS, sobre candidatura a cargos da ONU e da OEA, sobre reuniões da Comissão dos Direitos Humanos, dos chanceleres da Bacia do Prata, do ""Policy Planning"" e do SELA, sobre direito do mar, a questão da energia nuclear e a situação política do Oriente Médio.";A documentação veio previamente organizada, razão pela qual decidiu-se respeitar a ordenação original em detrimento da ordem cronológica.;16.04.1974 a 03.12.1976;1974;1976;918;"América Latina; Direitos humanos; Energia nuclear; Estados Unidos da América; Viagens e visitas; Organização das Nações Unidas; Organização dos Estados Americanos; Oriente Médio; Política externa; Relações econômicas internacionais; Henry Kissinger; Bacia do Prata; Política comercial; "
AAS;1975.02.03;Ministro das Relações Exteriores;Brasil-EUA;Documentos referentes à visita em 1976, do secretário de Estado norte-americano, Henry Kissinger, à América Latina, incluindo o Brasil, no período de atuação de Azeredo da Silveira como ministro das Relações Exteriores. O dossiê é constituído por telegramas sobre o adiamento da visita em 1975 e sobre os diversos assuntos tratados durante a visita, como o direito do mar, relações comerciais entre Brasil e EUA, reforma da Carta da Organização dos Estados Americanos (OEA), entre outros. Inclui ainda discursos proferidos durante a visita, programa e comitiva, e comentários sobre a assinatura do Memorandum de Entendimento, o qual rege as relações bilaterais entre Brasil e Estados Unidos. Há também documentos sobre direito do mar e reforma da OEA.;Há 5 encadernados, anexo ao dossiê, com cópias de recortes de jornal e resumos do noticiário nacional e internacional sobre a visita de Henry Kissinger ao Brasil, em fevereiro de 1976. Estes encadernados não foram digitalizados, todavia encontram-se disponíveis para consulta no CPDOC.;03.02.1975 a 00.00.1976;1975;1976;348;"Acordos e tratados internacionais; América Latina; Comércio exterior; Cooperação científica e tecnológica; Estados Unidos da América; Viagens e visitas; Mar territorial; Organização dos Estados Americanos; Relações internacionais; Henry Kissinger; "
AAS;1975.03.01;Ministro das Relações Exteriores;Brasil-EUA;"Documentos referentes à visita do subsecretário dos Estados Unidos para assuntos interamericanos William Rogers, à América Latina, incluindo o Brasil, no período de atuação de Azeredo da Silveira como ministro das Relações Exteriores. A visita, realizada em março de 1975, teve caráter preparatório à visita do secretário de Estado norte-americano Henry Kissenger à América Latina, que estava prevista para abril de 1975, mas só aconteceu em 1976. Trata-se de correspondência, em sua maioria telegramas, sobre a passagem de William Rogers pelo Brasil, Argentina, Uruguai e Chile; sobre programa e comitiva da visita; e ainda sobre relações dos Estados Unidos com América Latina, especialmente com Cuba, incluindo considerações sobre o discurso do secretário de Estado, Henry Kissinger, em Houston, abordando, principalmente, o tema América Latina.";NULL;01.03.1975 a 00.03.1975;1975;1975;72;"América Latina; Cooperação econômica; Cuba; Estados Unidos da América; Viagens e visitas; Relações internacionais; "
AAS;1976.00.00;Ministro das Relações Exteriores;Brasil-EUA;"Documentos referentes às relações entre o presidente do Brasil, Ernesto Geisel, e o presidente dos Estados Unidos, Jimmy Carter, no período de atuação de Azeredo da Silveira como ministro das Relações Exteriores. São documentos previamente organizados (a maioria em xerox), que se caracterizam como subsídios para as conversações presidenciais e correspondência, entre os dois presidentes, tratando de diversos assuntos entre os quais: candidaturas e eleição de Jimmy Carter em 1976; visita de Jimmy Carter ao Brasil, Venezuela e outros países da América Latina, em março de 1978; relações bilaterais entre Brasil e Estados Unidos; e política externa brasileira e política externa norte-americana, no governo Carter.";NULL;00.00.1976 a 00.03.1979;1976;1979;859;"Acordos e tratados internacionais; Acordos e tratados nucleares; América Latina; Cooperação internacional; Direitos humanos; Eleições presidenciais; Ernesto Geisel; Estados Unidos da América; Viagens e visitas; Jimmy Carter; Política externa; Política nuclear; Relações econômicas internacionais; Relações internacionais; Política internacional; "
